p_date,ticker_code,EPS_Q_EST,REV_Q_EST,EPS_A_EST,REV_A_EST,EPS_Q_EST_FP,REV_Q_EST_FP,EPS_A_EST_FP,REV_A_EST_FP,EPS_LT,PRICE_LT,REV_Q_ACT,NI_Q_ACT,REV_A_ACT,NI_A_ACT,ACT_CLOSE_PRICE,ACT_OPEN_PRICE,ACT_HIGH_PRICE,ACT_LOW_PRICE,ACT_VOLUME
6/5/18,GOOGL,8.33186325,33059.70833,56.574493,182858.75,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1151.02,1154.66,1161.096,1147.46,1648.222
6/6/18,GOOGL,8.33186325,33059.70833,56.574493,182858.75,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1146.95,1152.77,1154.714,1136.32,1746.719
6/7/18,GOOGL,8.33186325,33059.70833,47.809107,160802.1714,0,0,43830,43830,15.763114,1260.868293,22433.25,4869.5,111024,12662,1134.42,1144.58,1145.865,1126.12,1805.388
6/8/18,GOOGL,8.33186325,33059.70833,47.809107,160802.1714,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1132.71,1131.21,1138.78,1123.23,1364.226
6/11/18,GOOGL,8.33186325,33059.70833,47.809107,160802.1714,0,0,0,0,15.763114,1260.868293,22433.25,4869.5,111024,12662,1140.9,1132.94,1147.74,1131.399,1239.77
6/12/18,GOOGL,8.33186325,33059.70833,47.82372,160863.5588,0,0,43830,43830,15.763114,1258.64,22433.25,4869.5,111024,12662,1148.19,1141.02,1148.75,1141.02,1304.612
6/13/18,GOOGL,8.33186325,33059.70833,47.82372,160863.5588,0,0,0,0,15.763114,1258.64,22433.25,4869.5,111024,12662,1144.23,1152.28,1155.64,1143.38,1715.074
6/14/18,GOOGL,8.33186325,33059.70833,47.82372,160863.5588,0,0,0,0,15.763114,1258.64,22433.25,4869.5,111024,12662,1160.11,1152.21,1165.99,1150.6,1771.12
6/15/18,GOOGL,8.33186325,33059.70833,47.82372,160863.5588,0,0,0,0,15.763114,1258.64,22433.25,4869.5,111024,12662,1159.27,1159.92,1163.909,1153.69,2221.891
6/18/18,GOOGL,8.33186325,33059.70833,47.82372,136090.125,0,0,0,43465,15.763114,1258.64,22433.25,4869.5,111024,12662,1183.58,1152.69,1184.13,1151,1651.913
6/19/18,GOOGL,8.33186325,33059.70833,56.495233,182956.2083,0,0,44196,44196,15.763114,1258.64,22433.25,4869.5,111024,12662,1178.69,1170.11,1182.81,1161.61,2364.127
6/20/18,GOOGL,8.33186325,33059.70833,56.495233,182956.2083,0,0,0,0,15.763114,1258.64,22433.25,4869.5,111024,12662,1184.07,1183.3,1201.49,1182.03,2584.26
